Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
9-Aug-14,16:40,Hawthorn,Melbourne,MCG,115,65,,17,13,9,11,1.03,14.03
9-Aug-14,14:10,Carlton,Gold Coast,Etihad Stadium,97,58,,14,13,8,10,1.51,2.6
9-Aug-14,13:45,GWS Giants,North Melbourne,StarTrack Oval Canberra,51,126,,7,9,19,12,5.51,1.15
8-Aug-14,19:50,Richmond,Essendon,MCG,95,77,,14,11,11,11,2.25,1.65
3-Aug-14,16:40,Collingwood,Port Adelaide,MCG,76,70,,11,10,10,10,2.19,1.67
3-Aug-14,15:20,Hawthorn,Western Bulldogs,Aurora Stadium,107,45,,16,11,6,9,1.13,6.15
3-Aug-14,13:10,Melbourne,Brisbane,Etihad Stadium,51,74,,6,15,11,8,1.72,2.13
2-Aug-14,19:40,Gold Coast,St Kilda,Metricon Stadium,117,64,,17,15,9,10,1.42,2.87
2-Aug-14,19:40,North Melbourne,Geelong,Etihad Stadium,79,111,,10,19,16,15,2.23,1.65
2-Aug-14,16:40,Richmond,GWS Giants,MCG,89,62,,13,11,8,14,1.09,7.38
2-Aug-14,13:10,Adelaide,West Coast,Adelaide Oval,105,136,,16,9,20,16,1.18,4.93
1-Aug-14,19:50,Sydney,Essendon,SCG,79,57,,11,13,8,9,1.27,3.8
